IID,T1,T2,AGE,SEX,PC1,PC2,PC3,PC4,PC5,pop,super_pop
HG01817,2,1,65,2,-0.0153893,-0.0344857,0.00266191,0.0192001,-0.0198941,CDX,EAS
HG01840,2,2,50,1,-0.0152138,-0.033749,0.00307131,0.0164425,-0.0123457,KHV,EAS
HG01841,2,2,37,2,-0.0154312,-0.0333942,0.00422594,0.0176931,-0.0171508,KHV,EAS
HG01842,2,2,33,1,-0.0153281,-0.033193,0.00366671,0.0177318,-0.0174876,KHV,EAS
HG01843,2,1,39,2,-0.0155568,-0.033331,0.00370117,0.0178069,-0.0153247,KHV,EAS
HG01844,2,1,53,1,-0.0153187,-0.033581,0.00352833,0.0173346,-0.0147565,KHV,EAS
HG01845,2,1,41,2,-0.0152605,-0.0333996,0.00334869,0.0168109,-0.016179,KHV,EAS
HG01846,1,2,54,1,-0.0153189,-0.032926,0.0023074,0.0172233,-0.015864,KHV,EAS
HG01847,1,2,55,2,-0.0153912,-0.0331225,0.00307548,0.0164385,-0.0161269,KHV,EAS
HG01848,1,2,42,2,-0.0152333,-0.0335038,0.00337229,0.0165607,-0.0143935,KHV,EAS
HG01849,2,1,61,1,-0.0153699,-0.0330734,0.00263414,0.0175232,-0.0173102,KHV,EAS
HG01850,2,1,50,2,-0.0153097,-0.0332459,0.00469169,0.0157194,-0.0149858,KHV,EAS
HG01851,1,2,45,2,-0.0153889,-0.0337675,0.00482038,0.0164021,-0.0164369,KHV,EAS
HG01852,1,1,56,1,-0.015448,-0.0334023,0.00316181,0.0175195,-0.0159361,KHV,EAS
HG01853,1,2,50,2,-0.0154403,-0.0336207,0.00334524,0.0171062,-0.0159493,KHV,EAS
HG01855,1,2,43,2,-0.0153114,-0.03286,0.00310639,0.0163932,-0.0125485,KHV,EAS
HG01857,1,2,55,2,-0.0154297,-0.0337124,0.00376549,0.0168735,-0.0131926,KHV,EAS
HG01858,2,2,41,2,-0.0154336,-0.0337038,0.00324599,0.0178736,-0.0151971,KHV,EAS
HG01859,1,1,38,2,-0.0153361,-0.0337649,0.00466321,0.01713,-0.0182454,KHV,EAS
HG01860,1,1,38,1,-0.0153759,-0.0341212,0.00275076,0.0155581,-0.0200576,KHV,EAS
HG01861,2,2,60,1,-0.0153099,-0.0329924,0.0031302,0.0155904,-0.0174006,KHV,EAS
HG01862,1,2,53,2,-0.015239,-0.033068,0.00132916,0.01474,-0.0158245,KHV,EAS
HG01863,2,2,47,2,-0.0153334,-0.0332071,0.00270371,0.0132991,-0.0173588,KHV,EAS
HG01864,1,1,38,1,-0.0150262,-0.0331023,0.00177523,0.0144511,-0.0177962,KHV,EAS
HG01865,1,1,38,1,-0.0151521,-0.0331781,0.00208196,0.015393,-0.0188872,KHV,EAS
HG01866,1,2,52,1,-0.0150591,-0.0325087,0.00149134,0.0137827,-0.0173092,KHV,EAS
HG01867,2,2,45,1,-0.0150359,-0.0330871,0.00184524,0.0140135,-0.0194071,KHV,EAS
HG01868,2,2,46,2,-0.0153913,-0.0333873,0.00159322,0.0145738,-0.0192122,KHV,EAS
HG01869,2,2,54,2,-0.0152778,-0.0335325,0.00252728,0.015331,-0.0203599,KHV,EAS
HG01870,1,2,27,2,-0.0149765,-0.0328013,0.00250155,0.0126155,-0.0189761,KHV,EAS
HG01871,1,2,57,2,-0.0149288,-0.033333,0.00077534,0.0130706,-0.0194512,KHV,EAS
HG01872,2,2,52,1,-0.0148919,-0.0325613,0.00125187,0.0114104,-0.0141439,KHV,EAS
HG01873,1,2,49,1,-0.0148799,-0.0328022,0.00201049,0.0122233,-0.0204317,KHV,EAS
HG01874,1,2,34,2,-0.014775,-0.0323815,0.00118307,0.012662,-0.0183947,KHV,EAS
HG01878,1,1,58,2,-0.0149655,-0.0325438,0.00124168,0.0120309,-0.0179283,KHV,EAS
HG01879,2,2,51,1,0.0272779,-0.000291745,0.004014,0.00524025,0.00940531,ACB,AFR
HG01880,2,2,45,2,0.0138822,-0.00144129,-0.010068,-0.00121129,0.0139531,ACB,AFR
HG01882,1,2,48,1,0.0333894,-0.0036754,0.00231248,0.00330628,0.0120292,ACB,AFR
HG01883,2,1,53,2,0.0282405,-0.000383268,0.00258004,0.0049924,0.00595094,ACB,AFR
HG01885,2,2,56,1,0.0323192,-0.00225246,0.00191273,0.00199639,0.00480789,ACB,AFR
HG01886,1,1,37,2,0.0302133,-0.000581356,0.00194058,0.000347101,0.00416236,ACB,AFR
HG01889,2,1,44,2,0.0337895,-0.00321129,0.00163956,0.00114226,0.00607426,ACB,AFR
HG01890,2,2,54,1,0.0291519,-0.00020506,0.00176089,0.00220563,0.00638088,ACB,AFR
HG01892,2,2,40,1,-0.0113527,-0.0043828,0.0410723,-0.0648565,0.0037014,PEL,AMR
HG01893,2,1,59,2,-0.00821361,-1.9004e-05,0.0351525,-0.0481905,0.00435257,PEL,AMR
HG01894,1,2,66,2,0.0310286,-0.00158905,0.00147067,0.00290395,0.00705808,ACB,AFR
HG01896,1,1,45,2,0.0332927,-0.00397119,0.0026309,0.00348778,0.0163281,ACB,AFR
HG01912,2,1,39,1,0.0306639,-0.000886779,0.00109854,0.00214196,0.00966946,ACB,AFR
HG01914,2,2,43,1,0.0278463,0.000107584,0.00401863,0.0047546,0.0119292,ACB,AFR
HG01915,1,1,52,2,0.031399,-0.00243866,0.00278619,0.00418965,0.00941094,ACB,AFR
HG01917,1,2,54,1,-0.0143463,-0.00780402,0.0477613,-0.0818372,0.000406518,PEL,AMR
HG01918,1,2,46,2,-0.0145097,-0.00432203,0.0429316,-0.0702096,0.000315254,PEL,AMR
HG01920,2,2,75,1,-0.0157,-0.0124507,0.0528992,-0.0955661,0.00200929,PEL,AMR
HG01921,2,1,50,2,-0.0145591,-0.00432097,0.0429073,-0.0669419,0.00240789,PEL,AMR
HG01923,1,2,56,1,-0.0153201,-0.0112001,0.0500914,-0.0896312,-0.00101367,PEL,AMR
HG01924,2,2,34,2,-0.00937001,-0.00818274,0.0381829,-0.0616891,0.000393819,PEL,AMR
HG01926,2,1,59,1,-0.0156735,-0.0131766,0.0511942,-0.0976731,-0.00147863,PEL,AMR
HG01927,1,2,44,2,-0.0155143,-0.0102883,0.0486281,-0.091035,-0.000725522,PEL,AMR
HG01932,1,1,41,1,-0.0145114,-0.0040173,0.0422678,-0.0762827,-0.000219974,PEL,AMR
HG01933,1,2,54,2,-0.00971479,-0.0045316,0.034925,-0.0575003,-0.00106285,PEL,AMR
HG01935,1,2,31,1,-0.0140092,-0.00250634,0.0407921,-0.0679576,-0.00482407,PEL,AMR
HG01936,2,2,58,2,-0.0123892,-0.000325014,0.036296,-0.0590023,-0.0027927,PEL,AMR
HG01938,2,2,58,1,-0.0155048,-0.0125836,0.0505109,-0.0975525,-0.000528642,PEL,AMR
HG01939,2,1,52,2,-0.0137204,-0.0039139,0.0421523,-0.0732692,-0.000479512,PEL,AMR
HG01941,1,1,66,1,-0.0120691,-0.0075536,0.0423119,-0.0764908,-0.000215894,PEL,AMR
HG01942,1,2,43,2,-0.01435,-0.00639431,0.0443443,-0.0810589,0.000662812,PEL,AMR
HG01944,2,1,46,1,-0.0143783,-0.0170396,0.0291224,-0.0433202,-0.00410848,PEL,AMR
HG01945,2,2,50,2,-0.014166,-0.00389525,0.0419308,-0.0727915,-0.00132574,PEL,AMR
HG01947,2,2,41,1,-0.0124461,0.000742451,0.0339292,-0.0531459,-0.00319592,PEL,AMR
HG01948,2,1,41,2,-0.00625017,-0.00815199,0.0339619,-0.0614778,0.000678542,PEL,AMR
HG01950,2,2,40,1,-0.0124144,-0.00920588,0.0442079,-0.0805904,-0.00241005,PEL,AMR
HG01951,2,1,34,2,-0.0144862,-0.0117967,0.0473216,-0.0932001,0.000716679,PEL,AMR
HG01953,1,2,61,1,-0.0143248,-0.00879995,0.0467328,-0.0881856,-0.00217782,PEL,AMR
HG01954,2,1,56,2,-0.0149271,-0.00945668,0.047321,-0.0901445,-0.00137282,PEL,AMR
HG01956,2,2,51,2,0.0318602,-0.00133794,0.00237238,0.0023191,0.0108596,ACB,AFR
HG01958,2,1,51,2,0.0282799,-0.000521939,0.0043527,0.00445834,0.0111788,ACB,AFR
HG01961,2,2,54,1,-0.0156085,-0.0123334,0.0490462,-0.100263,-0.00917421,PEL,AMR
HG01965,1,2,58,2,-0.00965103,-4.13725e-05,0.0306615,-0.0536276,-0.0111055,PEL,AMR
HG01967,1,2,48,1,-0.0130295,0.00128849,0.0360192,-0.0583574,-0.00319021,PEL,AMR
HG01968,2,1,39,2,-0.0151644,-0.0116857,0.0488865,-0.0935348,8.40092e-06,PEL,AMR
HG01970,1,2,60,1,-0.0133753,0.000247104,0.0367096,-0.0594349,-0.00358258,PEL,AMR
HG01971,1,1,36,2,-0.00585632,-0.00139072,0.0318885,-0.0507543,-0.00300458,PEL,AMR
HG01973,2,1,51,2,-0.0129195,-0.006558,0.043227,-0.0786693,-0.000849535,PEL,AMR
HG01974,2,2,42,1,-0.0148539,-0.0116856,0.0480986,-0.0932505,-0.000609283,PEL,AMR
HG01976,1,2,63,2,-0.0132589,-0.000462712,0.0383055,-0.0635219,-0.0030049,PEL,AMR
HG01977,1,1,43,1,-0.0140501,-0.00444985,0.042581,-0.0761802,-0.00267795,PEL,AMR
HG01979,1,2,41,1,-0.0135119,-0.00163973,0.0382462,-0.0658554,-0.00402208,PEL,AMR
HG01980,1,1,40,2,-0.0125456,-0.0029673,0.039696,-0.0692211,-0.00174951,PEL,AMR
HG01982,2,2,58,1,-0.0145858,-0.00513925,0.0436111,-0.0704266,0.00251981,PEL,AMR
HG01985,2,2,46,2,0.0311985,-0.00210999,0.00341127,0.00380483,0.00615026,ACB,AFR
HG01986,2,1,53,1,0.0288052,-0.000203377,0.0037226,0.0038842,0.00827357,ACB,AFR
HG01988,2,1,51,1,0.0147219,0.00996761,0.00450613,0.00757001,0.00322187,ACB,AFR
HG01989,2,2,72,2,0.0280011,0.000569288,0.00274612,0.00226609,0.00658254,ACB,AFR
HG01990,1,1,68,1,0.0311838,-0.00257962,0.00317605,0.00462276,0.00231468,ACB,AFR
HG01991,1,2,46,1,-0.0134411,-0.00334729,0.0403556,-0.0700905,-0.00457161,PEL,AMR
HG01992,1,1,50,2,-0.0149997,-0.00898439,0.0461474,-0.0870943,-0.00029665,PEL,AMR
HG01997,2,2,55,2,-0.0150367,-0.00843073,0.0459648,-0.0850978,0.000290726,PEL,AMR
HG02002,1,2,58,1,-0.0141776,-0.00485922,0.0410445,-0.0738289,-0.000112483,PEL,AMR
HG02003,2,1,70,2,-0.0142559,-0.00662791,0.0446456,-0.0792682,-0.00102967,PEL,AMR
HG02006,2,1,45,2,0.00538367,0.00201279,0.0194147,-0.0275789,-0.0106283,PEL,AMR
HG02008,2,2,55,1,-0.0142064,-0.00714959,0.0442341,-0.0803842,-0.000169289,PEL,AMR
HG02009,1,2,51,1,0.0282479,0.000526736,0.00299604,0.00256476,0.00410156,ACB,AFR
HG02010,2,2,47,2,0.027794,0.000914004,0.00220546,0.0032027,0.00419354,ACB,AFR
HG02012,1,2,34,2,0.0314903,-0.00206886,0.00344751,0.00380288,0.00751452,ACB,AFR
HG02013,1,1,42,1,0.0334618,-0.00400219,0.00236815,0.00326996,0.0136299,ACB,AFR
HG02014,1,1,46,1,0.0293634,-0.000169443,0.00203629,0.00197108,0.00367712,ACB,AFR
HG02016,1,1,46,2,-0.0150011,-0.0294399,-0.00189268,0.0102927,-0.0166537,KHV,EAS
HG02017,2,2,46,1,-0.0150676,-0.0324998,0.000561804,0.0138371,-0.0178591,KHV,EAS
HG02019,1,1,68,2,-0.0153498,-0.0329716,0.00146882,0.0142171,-0.0182413,KHV,EAS
HG02020,1,1,57,1,-0.0150908,-0.0324769,0.00175495,0.0139445,-0.0210989,KHV,EAS
HG02023,1,2,48,1,-0.0151362,-0.0329213,0.00291357,0.0137481,-0.020612,KHV,EAS
HG02025,2,2,60,2,-0.0150729,-0.0331591,0.00223935,0.0137906,-0.0202816,KHV,EAS
HG02026,1,1,52,1,-0.0149911,-0.033714,0.00184042,0.0140786,-0.0210965,KHV,EAS
HG02028,2,2,70,2,-0.0151243,-0.0329242,0.00249282,0.0158853,-0.018003,KHV,EAS
HG02029,1,2,60,1,-0.0152623,-0.0346368,0.00339494,0.0138205,-0.0110914,KHV,EAS
HG02031,1,1,66,2,-0.0152205,-0.0341452,0.00396221,0.0158955,-0.0167228,KHV,EAS
HG02032,1,1,46,1,-0.0153995,-0.0338995,0.00493035,0.0163228,-0.0135269,KHV,EAS
HG02035,1,2,57,1,-0.0149537,-0.0329527,0.00177257,0.0138387,-0.0190158,KHV,EAS
HG02040,2,1,60,1,-0.0153641,-0.0324438,0.00140244,0.0137058,-0.0200401,KHV,EAS
HG02047,2,1,47,1,-0.0153019,-0.0327329,0.00073386,0.0140141,-0.0225664,KHV,EAS
HG02048,1,1,26,2,-0.0148476,-0.0324435,0.00173458,0.013387,-0.020068,KHV,EAS
HG02049,2,2,49,2,-0.0147945,-0.0330318,0.00188369,0.0122303,-0.0230744,KHV,EAS
HG02050,2,1,58,1,-0.0154751,-0.0334427,0.00365064,0.0163128,-0.0192494,KHV,EAS
HG02051,2,2,46,1,0.0335711,-0.00381698,0.00289392,0.00271713,0.0104689,ACB,AFR
HG02052,1,1,52,2,0.0340386,-0.00299841,0.00180755,0.0010956,0.00820604,ACB,AFR
HG02053,1,1,21,1,0.0318208,-0.00274022,0.00316434,0.00405304,0.00960514,ACB,AFR
HG02054,2,1,54,2,0.029079,-0.000112819,0.00182927,0.0027353,0.00613421,ACB,AFR
HG02057,1,1,40,2,-0.0146508,-0.0329876,0.00205511,0.0125772,-0.018361,KHV,EAS
HG02058,1,1,56,1,-0.0146301,-0.0314597,0.000151148,0.0111757,-0.0173882,KHV,EAS
HG02060,2,1,54,2,-0.0154039,-0.0331029,0.00304161,0.0166849,-0.0166393,KHV,EAS
HG02061,2,2,50,1,-0.015477,-0.0328379,0.00331343,0.0157377,-0.016524,KHV,EAS
HG02064,1,2,71,1,-0.0151395,-0.0335132,0.00451633,0.0154039,-0.0175895,KHV,EAS
HG02067,1,1,36,1,-0.0152549,-0.0334561,0.00299802,0.0168433,-0.0147684,KHV,EAS
HG02069,1,1,58,2,-0.0148528,-0.0323691,0.000810483,0.0121533,-0.0179155,KHV,EAS
HG02070,1,1,56,1,-0.0149504,-0.0325117,0.0017318,0.0132024,-0.0175137,KHV,EAS
HG02072,1,1,44,2,-0.0149195,-0.0324959,0.00123652,0.0120952,-0.0187238,KHV,EAS
HG02073,2,1,49,1,-0.0150697,-0.0334002,0.00178852,0.0133057,-0.0180563,KHV,EAS
HG02075,2,1,42,2,-0.0148508,-0.032948,0.000966729,0.0144689,-0.020303,KHV,EAS
HG02076,2,2,62,1,-0.0150384,-0.0335262,0.00186066,0.013734,-0.0203323,KHV,EAS
HG02078,1,1,63,2,-0.0152575,-0.0333663,0.00166567,0.0142049,-0.0216529,KHV,EAS
HG02079,2,2,42,1,-0.0147665,-0.0335143,0.00193331,0.0151091,-0.0213817,KHV,EAS
HG02081,2,2,52,2,-0.0152217,-0.0331016,0.00102719,0.0130643,-0.0182179,KHV,EAS
HG02082,1,1,51,1,-0.0152028,-0.0332424,0.00272319,0.012668,-0.0113041,KHV,EAS
HG02084,1,1,56,2,-0.0151408,-0.0331537,0.00184866,0.0118401,-0.0182766,KHV,EAS
HG02085,1,2,69,1,-0.0151921,-0.0327409,0.00151489,0.0132271,-0.0186125,KHV,EAS
HG02086,2,2,42,2,-0.015099,-0.0325517,0.0015051,0.0130687,-0.0196544,KHV,EAS
HG02087,1,1,56,2,-0.0150726,-0.0331836,0.000943604,0.0145139,-0.0163604,KHV,EAS
HG02088,1,2,50,1,-0.0152232,-0.0336701,0.00170918,0.0141326,-0.017928,KHV,EAS
HG02089,2,2,44,2,-0.0131714,-5.26903e-05,0.0374025,-0.0608408,-0.00165236,PEL,AMR
HG02090,1,1,65,1,-0.00767006,0.000432729,0.0327971,-0.0521366,-0.00104366,PEL,AMR
HG02095,1,2,35,2,0.0323702,-0.00253234,0.000754653,0.00224796,0.0076759,ACB,AFR
HG02102,2,1,45,2,-0.0141501,-0.00706271,0.041974,-0.0796995,-0.0130743,PEL,AMR
HG02104,2,2,53,1,-0.014705,-0.00901429,0.0460145,-0.0873631,-0.000829507,PEL,AMR
HG02105,1,1,75,2,-0.0154848,-0.010592,0.047613,-0.0913835,6.91547e-05,PEL,AMR
HG02107,2,2,49,1,0.0339099,-0.00340625,0.00109372,0.00120797,0.0018427,ACB,AFR
HG02108,1,1,56,2,0.0276196,0.000948883,0.00212553,0.003276,0.00333887,ACB,AFR
HG02111,2,1,50,2,0.0316593,-0.00199686,0.0015846,0.00251417,0.0104006,ACB,AFR
HG02113,2,1,53,2,-0.0151037,-0.0327152,0.00156988,0.0129768,-0.0166116,KHV,EAS
HG02116,1,1,53,1,-0.0151954,-0.0323139,0.0015173,0.0135261,-0.0200955,KHV,EAS
HG02121,1,1,43,2,-0.0149409,-0.0324228,0.0014222,0.0132388,-0.019498,KHV,EAS
HG02122,2,2,62,1,-0.015097,-0.0334333,0.00239531,0.0134899,-0.00976936,KHV,EAS
HG02127,1,2,60,2,-0.0151821,-0.0334539,0.00296279,0.0133455,-0.0205738,KHV,EAS
HG02128,2,1,47,1,-0.0151911,-0.0325214,0.00149824,0.0133231,-0.0177315,KHV,EAS
HG02130,2,2,53,2,-0.0156533,-0.0330888,0.00268537,0.0163539,-0.014488,KHV,EAS
HG02131,2,2,47,1,-0.0147861,-0.0301442,0.000311367,0.0138769,-0.0157842,KHV,EAS
HG02133,2,1,65,2,-0.0152262,-0.0330945,0.00218058,0.0164553,-0.0155453,KHV,EAS
HG02134,1,2,34,1,-0.0153041,-0.0336129,0.0042826,0.0176125,-0.0159295,KHV,EAS
HG02136,1,1,46,2,-0.0150386,-0.0328377,0.00173543,0.0162006,-0.0153352,KHV,EAS
HG02137,1,1,28,1,-0.0155087,-0.0337785,0.00276358,0.0171599,-0.0153021,KHV,EAS
HG02138,2,2,62,1,-0.0151152,-0.0329099,0.00125837,0.0135961,-0.0177106,KHV,EAS
HG02139,1,1,69,2,-0.0152345,-0.0328347,0.00211068,0.0133634,-0.0175325,KHV,EAS
HG02140,1,1,43,2,-0.0151076,-0.0328194,0.00155899,0.0127116,-0.0167667,KHV,EAS
HG02141,2,2,49,1,-0.0152159,-0.032542,0.00146533,0.0130285,-0.0167033,KHV,EAS
HG02142,1,1,49,2,-0.014963,-0.0277915,0.00374224,0.0154447,-0.0131512,KHV,EAS
HG02143,2,2,36,1,0.0265439,0.00106363,0.0017514,0.00327423,0.00634695,ACB,AFR
HG02144,1,1,60,2,0.0323207,-0.00234259,0.00153887,0.00160403,0.00491914,ACB,AFR
HG02146,2,2,30,1,-0.0150504,-0.00855655,0.0488977,-0.0832598,0.00422164,PEL,AMR
HG02147,1,1,45,2,-0.0152474,-0.0102259,0.0501056,-0.0862313,0.00225272,PEL,AMR
HG02150,2,2,48,1,-0.0154085,-0.0107341,0.0467403,-0.0951354,-0.012867,PEL,AMR
HG02151,1,1,77,2,-0.0151868,-0.0341164,0.0033541,0.0171955,-0.0240831,CDX,EAS
HG02152,1,2,50,2,-0.0153013,-0.0333766,0.00256601,0.0151494,-0.0264972,CDX,EAS
HG02153,1,1,57,2,-0.0152281,-0.0331003,0.000648376,0.0135819,-0.0197999,CDX,EAS
HG02154,2,1,42,2,-0.0152766,-0.033641,0.00268767,0.0146391,-0.0240355,CDX,EAS
HG02155,2,2,53,2,-0.0152427,-0.0340911,0.00277748,0.0156757,-0.0227326,CDX,EAS
HG02156,1,1,54,2,-0.0152808,-0.0335956,0.00157366,0.0152218,-0.0242304,CDX,EAS
HG02164,2,2,67,2,-0.0151231,-0.0333352,0.00117212,0.0142615,-0.0235895,CDX,EAS
HG02165,1,1,42,2,-0.0153389,-0.0331124,0.00191903,0.0149934,-0.0207831,CDX,EAS
HG02166,2,2,50,2,-0.0152872,-0.0342939,0.00196921,0.0148288,-0.0261856,CDX,EAS
HG02178,1,1,47,2,-0.0153508,-0.0343304,0.000913564,0.0164628,-0.025072,CDX,EAS
HG02179,1,1,40,2,-0.0151127,-0.0330848,0.00119341,0.0140183,-0.0213924,CDX,EAS
HG02180,2,1,50,2,-0.0154048,-0.0343397,0.00149126,0.0157864,-0.021121,CDX,EAS
HG02181,1,2,53,2,-0.0151163,-0.0338334,0.00139546,0.0155213,-0.0252487,CDX,EAS
HG02182,1,2,64,2,-0.0153402,-0.0334156,0.00244231,0.0154807,-0.0234294,CDX,EAS
HG02184,1,1,43,2,-0.0155103,-0.0337955,0.00299385,0.0153817,-0.0252451,CDX,EAS
HG02185,1,1,34,2,-0.0153491,-0.0338526,0.00246812,0.0157737,-0.0231781,CDX,EAS
HG02186,2,1,48,2,-0.0150878,-0.0335188,0.00210114,0.0142791,-0.0273198,CDX,EAS
HG02187,2,2,49,2,-0.0151806,-0.0340032,0.00260031,0.0148013,-0.0231649,CDX,EAS
HG02188,1,1,61,2,-0.0152992,-0.0338179,0.00244574,0.0155802,-0.0252976,CDX,EAS
HG02190,2,2,47,2,-0.0153335,-0.0334208,0.00191999,0.0157008,-0.0233575,CDX,EAS
HG02215,2,2,72,2,-0.0114032,0.0271274,0.013143,0.0209281,-0.00115042,GBR,EUR
HG02219,2,2,51,1,-0.0102389,0.0269065,0.00983567,0.0170924,-0.0142383,IBS,EUR
HG02220,2,2,42,2,-0.0106384,0.0268123,0.0102781,0.0189162,-0.00451608,IBS,EUR
HG02221,2,1,62,1,-0.0103157,0.0270478,0.0119229,0.0196831,-0.00559506,IBS,EUR
HG02223,1,1,55,2,-0.0104951,0.0269339,0.0106423,0.0187668,-0.00631199,IBS,EUR
HG02224,1,2,75,1,-0.0110176,0.0269151,0.0110482,0.0193201,-0.00483613,IBS,EUR
HG02230,2,2,44,2,-0.0106715,0.0271792,0.0107578,0.0189706,-0.00697822,IBS,EUR
HG02231,2,2,71,1,-0.0107261,0.0270325,0.0106511,0.01793,-0.00598564,IBS,EUR
HG02232,2,1,66,2,-0.00998749,0.0263053,0.013413,0.0218919,-0.00102258,IBS,EUR
HG02233,1,1,59,1,-0.0100864,0.0262358,0.0131586,0.0203926,-0.00121354,IBS,EUR
HG02235,2,1,50,2,-0.0103893,0.0265266,0.00986761,0.0179994,-0.0065898,IBS,EUR
HG02236,2,2,63,1,-0.0103172,0.0268158,0.0107424,0.0177711,-0.005879,IBS,EUR
HG02238,2,1,51,1,-0.00999245,0.0266512,0.0138559,0.0216416,-0.00357636,IBS,EUR
HG02239,2,1,55,2,-0.00999809,0.0254084,0.010103,0.0196837,-0.00258274,IBS,EUR
HG02250,1,1,39,1,-0.0153714,-0.0338045,0.00370484,0.0179439,-0.024572,CDX,EAS
HG02252,2,2,52,2,-0.0127814,0.000229019,0.0340147,-0.0601086,-0.0117334,PEL,AMR
HG02253,1,1,48,1,-0.0127095,0.00463846,0.030239,-0.0489404,-0.0139471,PEL,AMR
HG02255,2,1,58,1,0.0315826,-0.00260914,0.00127219,0.00249361,0.00857564,ACB,AFR
HG02256,2,2,48,2,0.0248823,0.00158508,0.00423091,0.00120681,0.00711781,ACB,AFR
HG02259,2,2,54,1,-0.0155704,-0.0127005,0.0511017,-0.0940306,-0.000618453,PEL,AMR
HG02260,1,2,47,2,-0.0147675,-0.00695108,0.0451323,-0.0756983,-0.00257373,PEL,AMR
HG02262,2,1,58,1,-0.0143511,-0.00510863,0.0413596,-0.0748423,-0.0165483,PEL,AMR
HG02265,2,1,57,1,-0.0152301,-0.00991228,0.0469127,-0.0937601,-0.00903397,PEL,AMR
HG02266,2,2,39,2,-0.0150052,-0.0105611,0.0455496,-0.089097,-0.00846956,PEL,AMR
HG02271,1,1,54,1,-0.0153815,-0.0126055,0.0519159,-0.0944136,-0.00129352,PEL,AMR
HG02272,2,2,51,2,-0.0157623,-0.0130914,0.0520892,-0.103468,0.00169398,PEL,AMR
HG02274,2,2,54,1,-0.00193982,-0.00492267,0.0296741,-0.0592059,-0.00875157,PEL,AMR
HG02275,2,2,53,2,-0.0153551,-0.0106334,0.0468986,-0.0958564,-0.0123959,PEL,AMR
HG02277,2,2,41,1,-0.0139027,-0.000536065,0.0372435,-0.0625144,-0.00110845,PEL,AMR
HG02278,1,2,42,2,-0.0146221,-0.00952287,0.0462829,-0.0884117,0.000838311,PEL,AMR
HG02281,1,2,59,1,0.0333903,-0.00285236,0.0010764,0.00154942,0.00917905,ACB,AFR
HG02282,2,2,48,2,0.0263772,0.00202888,0.002547,0.00326057,0.00361398,ACB,AFR
HG02283,1,2,61,1,0.0255795,0.00194791,0.00288692,0.00329618,0.00332514,ACB,AFR
HG02284,1,1,53,1,0.0277939,0.00090544,0.00124314,0.00327897,0.0063316,ACB,AFR
HG02285,1,1,52,1,-0.0139268,-0.00475747,0.0421378,-0.0751361,0.000746779,PEL,AMR
HG02286,1,2,68,2,-0.0140585,-0.00306544,0.0404645,-0.070115,-0.00156159,PEL,AMR
HG02291,2,2,50,1,-0.0153932,-0.0115325,0.0495714,-0.0953784,0.00338861,PEL,AMR
HG02292,2,1,63,2,-0.01512,-0.00715414,0.0459092,-0.0843283,0.000695221,PEL,AMR
HG02298,1,1,46,2,-0.0131441,0.00148871,0.0362743,-0.0540045,0.000639808,PEL,AMR
HG02299,2,1,63,1,-0.014922,-0.00760398,0.0458758,-0.0837119,0.00209388,PEL,AMR
HG02301,1,1,53,2,-0.0143032,-0.00570063,0.043628,-0.081554,0.000977615,PEL,AMR
HG02304,2,2,76,1,-0.0119813,-0.00628268,0.0384047,-0.0725107,-0.0139611,PEL,AMR
HG02307,2,2,40,1,0.0323991,-0.00269151,0.000809839,0.000563421,0.000670098,ACB,AFR
HG02308,2,2,58,2,0.029799,-0.000913607,0.00181221,0.00242466,0.00628621,ACB,AFR
HG02309,2,1,49,2,0.0303576,-0.000679832,0.0018239,0.00199696,0.00838042,ACB,AFR
HG02312,2,2,65,2,-0.013449,0.00143429,0.0336278,-0.0548233,-0.0140709,PEL,AMR
HG02314,2,1,58,1,0.032059,-0.00192658,0.00151593,0.00193373,0.00829234,ACB,AFR
HG02315,2,1,46,2,0.0290633,-0.000114301,0.00195524,0.00163601,0.00660056,ACB,AFR
HG02317,2,2,56,1,0.0323471,-0.00259003,0.000986927,0.00245547,0.00773062,ACB,AFR
HG02318,2,2,42,2,0.0327597,-0.00312917,0.000163408,0.00155123,0.0120335,ACB,AFR
HG02322,2,2,53,2,0.0294805,-0.000337163,0.00127844,0.00277826,0.00660251,ACB,AFR
HG02323,2,2,39,1,0.0318794,-0.00214761,0.000936531,0.00247251,0.00558315,ACB,AFR
HG02325,2,2,42,2,0.0335101,-0.00345838,0.00098745,0.000718001,0.00725885,ACB,AFR
HG02330,1,1,44,1,0.030089,-0.001147,0.00226122,0.00200655,0.00619086,ACB,AFR
HG02332,1,1,53,1,0.0309822,-0.0010731,0.00186275,0.00225745,0.000844752,ACB,AFR
HG02334,1,1,39,1,0.0238041,0.00323548,0.00311088,0.00417819,0.00513024,ACB,AFR
HG02337,2,2,48,2,0.0292264,-0.000489633,0.00153559,0.00264042,0.0080337,ACB,AFR
HG02339,2,2,50,2,0.0343119,-0.00329617,0.00161876,0.00122051,0.00791722,ACB,AFR
HG02343,2,2,48,1,0.0247471,0.00253347,0.00349011,0.00380257,0.00530892,ACB,AFR
HG02345,1,1,44,2,-0.0100334,-0.000138091,0.0255645,-0.0373082,-0.00989378,PEL,AMR
HG02348,2,1,48,2,-0.0141784,-0.00625967,0.0422986,-0.0806494,-0.0121211,PEL,AMR
HG02351,2,1,43,1,-0.0153254,-0.0337862,0.00305378,0.0170967,-0.021844,CDX,EAS
